trip_id,user_id,user_type,bike_id,bike_type,start_station_id,end_station_id,start_time,end_time,duration_minutes,distance_km,status
TR10081,USR1087,casual,BK261,electric,ST113,ST103,2024-06-02 18:33:00,2024-06-02 18:40:56,7.9,0.77,cancelled
TR10082,USR1070,member,BK302,classic,ST104,ST108,2024-03-16 15:21:00,2024-03-16 15:24:40,3.7,13.55,cancelled
TR10083,USR1174,member,BK329,electric,ST106,ST109,2024-06-21 22:25:00,2024-06-21 22:37:57,13.0,11.68,completed
TR10084,USR1040,member,BK302,classic,ST104,ST103,2024-10-08 16:39:00,2024-10-08 16:53:22,14.4,,completed
TR10085,USR1150,member,BK325,electric,ST105,ST104,2024-11-07 06:57:00,2024-11-07 06:59:00,2.0,4.3,completed
TR10086,USR1087,member,BK274,classic,ST109,ST101,2024-03-13 14:39:00,2024-03-13 15:11:33,32.6,7.68,completed
TR10087,USR1162,casual,BK261,electric,ST104,ST111,2024-06-20 11:33:00,2024-06-20 11:35:43,2.7,5.06,completed
TR10088,USR1089,member,BK295,classic,ST114,ST111,2024-11-13 21:23:00,2024-11-13 21:58:30,35.5,9.76,completed
TR10089,USR1043,member,BK283,electric,ST111,ST114,2024-02-28 14:44:00,2024-02-28 15:11:42,27.7,1.14,completed
TR10090,USR1088,member,BK336,classic,ST106,ST113,2024-11-30 12:08:00,2024-11-30 12:13:20,5.3,2.17,completed
TR10091,USR1070,casual,BK327,electric,ST100,ST113,2024-06-07 08:43:00,2024-06-07 08:46:12,3.2,1.62,completed
TR10092,USR1171,member,BK253,classic,ST114,ST107,2024-01-04 18:17:00,2024-01-04 18:35:21,18.4,6.69,cancelled
TR10093,USR1052,member,BK300,electric,ST110,ST106,2024-09-25 18:17:00,2024-09-25 19:26:56,69.9,12.08,nan
TR10094,USR1163,member,BK241,classic,ST108,ST107,2024-08-23 20:56:00,2024-08-23 21:32:33,36.6,6.56,completed
TR10095,USR1014,casual,BK228,classic,ST113,ST107,2024-06-06 09:17:00,2024-06-06 09:23:39,6.7,1.11,completed
TR10096,USR1138,casual,BK229,classic,ST103,ST111,2024-07-05 10:36:00,2024-07-05 10:38:20,2.3,6.55,cancelled
TR10097,USR1004,member,BK251,electric,ST108,ST106,2024-02-21 09:58:00,2024-02-21 10:10:50,12.8,12.65,completed
TR10098,USR1013,casual,BK346,classic,ST100,ST109,2024-09-15 11:04:00,2024-09-15 11:06:00,2.0,14.55,cancelled
TR10099,USR1000,member,BK295,classic,ST102,ST101,2024-12-03 22:23:00,2024-12-03 23:19:55,56.9,7.22,completed
TR10100,USR1070,member,BK274,classic,ST108,ST107,2024-11-18 14:02:00,2024-11-18 14:02:00,77.9,13.0,completed
TR10101,USR1032,member,BK312,classic,ST107,ST111,2024-02-07 13:58:00,2024-02-07 14:30:07,32.1,7.69,completed
TR10102,USR1070,member,BK302,classic,ST100,ST101,2024-02-09 18:31:00,2024-02-09 18:49:08,18.1,13.64,completed
TR10103,USR1003,member,BK251,electric,ST100,ST105,2024-08-03 21:39:00,2024-08-03 21:46:02,7.0,2.78,completed
TR10104,USR1153,casual,BK283,electric,ST103,ST114,2024-06-03 11:59:00,2024-06-03 12:03:19,4.3,13.27,cancelled
TR10105,USR1003,casual,BK329,electric,ST104,ST113,2024-02-08 09:01:00,2024-02-08 09:45:36,44.6,7.86,completed
TR10106,USR1061,casual,BK328,classic,ST107,ST114,2024-12-19 18:34:00,2024-12-19 18:37:26,3.4,4.61,completed
TR10107,USR1043,member,BK235,electric,ST112,ST105,2024-07-14 09:49:00,2024-07-14 11:02:34,73.6,2.91,completed
TR10108,USR1102,member,BK331,classic,ST107,ST110,2024-07-28 19:46:00,2024-07-28 21:12:44,86.7,11.37,completed
TR10109,USR1088,casual,BK265,electric,ST114,ST114,2024-02-27 07:45:00,2024-02-27 08:00:48,15.8,14.19,completed
TR10110,USR1134,member,BK328,electric,ST103,ST101,2024-06-23 19:19:00,2024-06-23 19:45:34,26.6,4.46,nan
TR10111,USR1064,member,BK265,electric,ST104,ST110,2024-03-24 11:18:00,2024-03-24 11:26:00,8.0,14.77,completed
TR10112,USR1138,member,BK274,classic,ST100,ST108,2024-10-06 17:17:00,2024-10-06 18:06:56,49.9,7.36,nan
TR10113,USR1034,member,BK227,electric,ST114,ST110,2024-06-22 12:02:00,2024-06-22 12:41:50,39.8,4.77,cancelled
TR10114,USR1061,member,BK243,classic,ST113,ST106,2024-09-29 17:19:00,2024-09-29 17:33:03,14.1,3.41,completed
TR10115,USR1064,member,BK315,classic,ST107,ST107,2024-03-04 18:16:00,2024-03-04 18:18:00,2.0,1.55,completed
TR10116,USR1040,member,BK243,electric,ST111,ST105,2024-09-23 14:16:00,2024-09-23 14:18:42,2.7,8.78,completed
TR10117,USR1039,casual,BK243,classic,ST107,ST101,2024-12-18 07:32:00,2024-12-18 07:34:17,2.3,5.58,completed
TR10118,USR1047,casual,BK262,electric,ST109,ST113,2024-05-01 20:33:00,2024-05-01 20:35:00,2.0,10.22,nan
TR10119,USR1150,member,BK330,classic,ST108,ST106,2024-08-10 14:49:00,2024-08-10 15:57:24,68.4,14.24,completed
TR10120,USR1105,member,BK283,classic,ST103,ST103,2024-11-09 08:40:00,2024-11-09 08:44:28,4.5,6.86,completed
TR10121,USR1187,member,BK280,classic,ST102,ST109,2024-05-26 19:35:00,2024-05-26 20:09:05,34.1,13.14,completed
TR10122,USR1040,casual,BK265,classic,ST102,ST105,2024-02-06 14:58:00,2024-02-06 15:24:16,26.3,3.39,completed
TR10123,USR1162,casual,BK300,classic,ST113,ST104,2024-06-07 10:03:00,2024-06-07 10:36:14,33.2,11.63,completed
TR10124,USR1011,member,BK329,classic,ST109,ST104,2024-12-19 09:01:00,2024-12-19 09:23:45,22.8,12.0,completed
TR10125,USR1087,member,BK211,classic,ST101,ST107,2024-01-21 20:32:00,2024-01-21 20:35:31,3.5,10.88,cancelled
TR10126,USR1100,member,BK261,classic,ST104,ST104,2024-02-10 20:13:00,2024-02-10 20:31:04,18.1,5.71,completed
TR10127,USR1080,member,BK320,electric,ST101,ST102,2024-08-16 10:00:00,2024-08-16 10:37:07,37.1,2.4,nan
TR10128,USR1128,casual,BK270,classic,ST113,ST109,2024-04-02 15:11:00,2024-04-02 15:55:08,44.1,6.75,completed
TR10129,USR1135,member,BK286,classic,ST103,ST111,2024-04-30 16:36:00,2024-04-30 16:47:01,11.0,8.24,completed
TR10130,USR1156,member,BK295,electric,ST111,ST110,2024-11-29 07:08:00,2024-11-29 07:26:56,18.9,14.08,completed
TR10131,USR1128,casual,BK302,classic,ST100,ST100,2024-06-27 19:11:00,2024-06-27 19:15:00,4.0,14.81,nan
TR10132,USR1062,casual,BK312,electric,ST106,ST114,2024-07-02 20:42:00,2024-07-02 20:58:46,16.8,10.17,completed
TR10133,USR1080,member,BK302,classic,ST106,ST107,2024-12-06 06:54:00,2024-12-06 07:21:54,27.9,6.93,cancelled
TR10134,USR1130,member,BK274,electric,ST110,ST109,2024-04-23 22:25:00,2024-04-23 23:15:47,50.8,8.77,completed
TR10135,USR1036,member,BK295,electric,ST102,ST114,2024-05-21 21:04:00,2024-05-21 21:25:31,21.5,5.55,completed
TR10136,USR1080,casual,BK258,electric,ST108,ST112,2024-03-13 18:30:00,2024-03-13 19:03:31,33.5,13.24,completed
TR10137,USR1190,member,BK241,electric,ST112,ST108,2024-10-05 18:10:00,2024-10-05 18:21:46,11.8,4.8,completed
TR10138,USR1053,member,BK336,classic,ST104,ST102,2024-11-11 06:48:00,2024-11-11 07:07:43,19.7,6.94,completed
TR10139,USR1039,casual,BK274,electric,ST101,ST113,2024-09-21 08:20:00,2024-09-21 09:09:45,49.8,8.03,completed
TR10140,USR1128,member,BK238,classic,ST104,ST114,2024-10-26 09:14:00,2024-10-26 09:26:32,12.5,8.47,completed
TR10141,USR1003,member,BK243,classic,ST114,ST104,2024-05-03 20:24:00,2024-05-03 20:50:34,26.6,6.01,completed
TR10142,USR1014,casual,BK226,classic,ST103,ST104,2024-02-21 19:26:00,2024-02-21 20:32:20,66.3,8.22,completed
TR10143,USR1174,member,BK286,classic,ST103,ST109,2024-12-10 16:06:00,2024-12-10 16:34:34,28.6,3.13,completed
TR10144,USR1080,member,BK325,classic,ST107,ST103,2024-03-24 09:53:00,2024-03-24 10:33:59,41.0,8.48,completed
TR10145,USR1087,casual,BK342,electric,ST104,ST105,2024-08-07 14:25:00,2024-08-07 14:30:57,6.0,9.36,completed
TR10146,USR1004,member,BK202,classic,ST110,ST104,2024-03-08 09:59:00,2024-03-08 10:26:49,27.8,12.24,completed
TR10147,USR1190,member,BK336,classic,ST100,ST102,2024-04-17 07:32:00,2024-04-17 07:38:06,6.1,1.89,completed
TR10148,USR1161,member,BK262,classic,ST109,ST108,2024-03-18 18:56:00,2024-03-18 19:13:10,17.2,14.82,completed
TR10149,USR1014,member,BK295,classic,ST108,ST100,2024-10-06 19:18:00,2024-10-06 19:41:06,23.1,5.39,cancelled
TR10150,USR1032,member,BK251,classic,ST108,ST107,2024-12-18 11:40:00,2024-12-18 12:04:00,24.0,6.91,cancelled
TR10151,USR1174,casual,BK283,electric,ST107,ST105,2024-07-18 08:53:00,2024-07-18 08:59:33,6.6,7.12,completed
TR10152,USR1153,member,BK330,classic,ST102,ST101,2024-10-12 13:21:00,2024-10-12 13:41:39,20.7,14.39,completed
TR10153,USR1145,casual,BK226,classic,ST113,ST113,2024-04-30 21:11:00,2024-04-30 21:21:40,10.7,10.14,completed
TR10154,USR1100,casual,BK243,classic,ST107,ST105,2024-01-05 13:55:00,2024-01-05 14:14:24,19.4,12.71,completed
TR10155,USR1014,casual,BK312,electric,ST100,ST104,2024-09-28 17:37:00,2024-09-28 17:41:20,4.3,1.42,completed
TR10156,USR1034,casual,BK333,classic,ST101,ST110,2024-09-05 14:00:00,2024-09-05 14:09:06,9.1,6.26,completed
TR10157,USR1062,member,BK336,electric,ST110,ST114,2024-12-07 10:51:00,2024-12-07 10:56:50,5.8,13.99,completed
TR10158,USR1171,member,BK291,classic,ST113,ST105,2024-03-07 21:06:00,2024-03-07 21:15:05,9.1,1.67,completed
TR10159,USR1053,member,BK241,classic,ST103,ST101,2024-09-12 15:24:00,2024-09-12 15:45:24,21.4,7.45,completed
TR10160,USR1014,member,BK295,electric,ST112,ST103,2024-01-25 18:52:00,2024-01-25 18:55:14,3.2,7.43,completed
TR10161,USR1128,casual,BK323,electric,ST111,ST112,2024-01-31 19:19:00,2024-01-31 19:33:28,14.5,2.03,completed
TR10162,USR1001,member,BK336,classic,ST102,ST104,2024-09-22 07:10:00,2024-09-22 07:45:05,35.1,9.48,completed
TR10163,USR1043,casual,BK250,electric,ST113,ST102,2024-09-19 21:15:00,2024-09-19 21:17:00,2.0,7.89,nan
TR10164,USR1103,member,BK291,classic,ST103,ST103,2024-05-03 11:38:00,2024-05-03 12:10:12,32.2,11.99,completed
TR10165,USR1014,member,BK307,electric,ST104,ST112,2024-03-26 10:54:00,2024-03-26 11:07:27,13.5,7.48,completed
TR10166,USR1062,member,BK315,classic,ST106,ST104,2024-03-05 18:20:00,2024-03-05 19:04:56,44.9,9.62,completed
TR10167,USR1122,member,BK320,classic,ST111,ST110,2024-07-09 09:33:00,2024-07-09 09:42:48,9.8,11.19,completed
TR10168,USR1052,member,BK202,electric,ST112,ST100,2024-04-14 22:55:00,2024-04-14 23:04:28,9.5,10.48,completed
TR10169,USR1014,member,BK261,classic,ST111,ST107,2024-10-03 16:54:00,2024-10-03 17:20:55,26.9,13.48,completed
TR10170,USR1032,casual,BK229,classic,ST102,ST104,2024-03-27 10:07:00,2024-03-27 10:09:00,2.0,1.73,completed
TR10171,USR1110,casual,BK280,classic,ST103,ST104,2024-08-19 19:35:00,2024-08-19 19:45:45,10.8,11.73,completed
TR10172,USR1131,casual,BK295,classic,ST113,ST105,2024-12-17 13:09:00,2024-12-17 13:11:00,2.0,1.69,nan
TR10173,USR1150,member,BK312,classic,ST101,ST102,2024-02-18 09:03:00,2024-02-18 09:40:15,37.3,9.84,completed
TR10174,USR1053,casual,BK235,classic,ST110,ST107,2024-09-14 18:52:00,2024-09-14 19:55:14,63.2,8.05,completed
TR10175,USR1023,casual,BK227,electric,ST106,ST108,2024-06-01 13:58:00,2024-06-01 14:17:58,20.0,6.14,completed
TR10176,USR1094,casual,BK342,classic,ST113,ST100,2024-05-01 12:48:00,2024-05-01 12:55:28,7.5,8.39,completed
TR10177,USR1003,member,BK333,classic,ST106,ST111,2024-08-11 16:21:00,2024-08-11 16:55:58,35.0,4.41,completed
TR10178,USR1044,casual,BK202,electric,ST103,ST110,2024-02-19 20:50:00,2024-02-19 20:54:04,4.1,5.46,completed
TR10179,USR1011,member,BK244,classic,ST102,ST106,2024-01-30 12:43:00,2024-01-30 13:08:17,25.3,11.54,completed
TR10180,USR1094,member,BK329,electric,ST102,ST100,2024-04-13 08:31:00,2024-04-13 09:23:58,53.0,10.03,completed
TR10181,USR1040,member,BK201,classic,ST108,ST112,2024-03-26 15:25:00,2024-03-26 16:10:48,45.8,12.57,completed
TR10182,USR1199,member,BK329,classic,ST102,ST114,2024-03-10 10:57:00,2024-03-10 11:08:29,11.5,7.0,completed
TR10183,USR1043,member,BK253,classic,ST104,ST105,2024-12-24 15:37:00,2024-12-24 15:41:33,4.6,3.13,completed
TR10184,USR1040,member,BK226,classic,ST102,ST107,2024-08-16 21:57:00,2024-08-16 22:17:36,20.6,8.63,completed
TR10185,USR1153,member,BK261,classic,ST111,ST102,2024-10-31 19:18:00,2024-10-31 19:20:00,2.0,5.35,completed
TR10186,USR1080,member,BK212,classic,ST103,ST113,2024-07-01 22:54:00,2024-07-01 23:00:43,6.7,5.89,completed
TR10187,USR1136,member,BK329,classic,ST100,ST100,2024-07-16 09:19:00,2024-07-16 09:57:30,38.5,2.22,completed
TR10188,USR1100,member,BK261,classic,ST104,ST108,2024-03-01 15:49:00,2024-03-01 15:53:31,4.5,10.65,completed
TR10189,USR1162,member,BK307,electric,ST102,ST109,2024-02-04 19:25:00,2024-02-04 20:16:32,51.5,12.71,completed
TR10190,USR1100,member,BK312,classic,ST105,ST109,2024-09-16 12:38:00,2024-09-16 12:55:09,17.2,6.83,completed
TR10191,USR1103,casual,BK336,electric,ST111,ST108,2024-01-31 09:20:00,2024-01-31 09:22:00,2.0,1.33,completed
TR10192,USR1071,casual,BK307,electric,ST109,ST105,2024-04-15 18:05:00,2024-04-15 18:07:00,2.0,7.57,completed
TR10193,USR1135,member,BK331,classic,ST106,ST105,2024-05-06 20:17:00,2024-05-06 20:49:57,33.0,8.45,completed
TR10194,USR1044,member,BK229,electric,ST107,ST113,2024-11-08 10:57:00,2024-11-08 12:34:14,97.2,2.6,completed
TR10195,USR1199,casual,BK302,classic,ST104,ST111,2024-06-09 09:41:00,2024-06-09 09:43:19,2.3,10.41,completed
TR10196,USR1163,member,BK323,classic,ST106,ST105,2024-06-25 22:33:00,2024-06-25 22:35:07,2.1,7.15,completed
TR10197,USR1070,member,BK258,classic,ST109,ST101,2024-05-23 21:50:00,2024-05-23 22:16:18,26.3,8.41,completed
TR10198,USR1190,member,BK286,classic,ST102,ST114,2024-02-18 12:20:00,2024-02-18 12:24:29,4.5,5.29,completed
TR10199,USR1189,casual,BK286,electric,ST103,ST111,2024-09-26 14:39:00,2024-09-26 16:23:58,105.0,11.69,completed
TR10200,USR1189,member,BK251,electric,ST100,ST109,2024-08-14 11:38:00,2024-08-14 12:04:44,26.7,12.42,completed
TR10201,USR1135,member,BK329,classic,ST109,ST107,2024-10-23 09:36:00,2024-10-23 10:01:10,25.2,12.07,completed
TR10202,USR1070,member,BK258,classic,ST103,ST105,2024-09-24 07:06:00,2024-09-24 07:29:45,23.8,5.76,cancelled
TR10203,USR1187,casual,BK228,classic,ST107,ST104,2024-06-24 16:36:00,2024-06-24 16:50:30,14.5,9.42,completed
TR10204,USR1081,member,BK251,classic,ST100,ST114,2024-04-18 18:33:00,2024-04-18 18:37:32,4.5,13.29,completed
TR10205,USR1162,member,BK295,classic,ST108,ST103,2024-06-02 10:34:00,2024-06-02 10:39:11,5.2,12.94,completed
TR10206,USR1023,member,BK327,classic,ST110,ST101,2024-12-29 17:08:00,2024-12-29 17:19:04,11.1,7.67,cancelled
TR10207,USR1014,casual,BK312,classic,ST109,ST113,2024-06-11 07:40:00,2024-06-11 08:13:38,33.6,3.27,completed
TR10208,USR1171,member,BK336,electric,ST111,ST110,2024-12-15 20:26:00,2024-12-15 20:51:08,25.1,2.33,completed
TR10209,USR1011,member,BK274,classic,ST106,ST105,2024-07-19 06:07:00,2024-07-19 06:09:00,2.0,1.62,completed
TR10210,USR1026,casual,BK265,classic,ST104,ST102,2024-11-08 19:51:00,2024-11-08 21:00:38,69.6,13.13,completed
TR10211,USR1150,casual,BK336,electric,ST110,ST110,2024-03-31 07:55:00,2024-03-31 08:06:55,11.9,3.79,completed
TR10212,USR1032,member,BK262,electric,ST110,ST103,2024-10-07 13:23:00,2024-10-07 13:25:00,2.0,14.51,completed
TR10213,USR1080,member,BK312,electric,ST103,ST112,2024-11-22 19:08:00,2024-11-22 19:17:05,9.1,12.53,completed
TR10214,USR1161,casual,BK227,electric,ST112,ST103,2024-10-12 14:32:00,2024-10-12 14:47:48,15.8,4.87,completed
