record_id,bike_id,bike_type,date,maintenance_type,cost,description
MR5025,BK312,electric,2024-10-31,battery_replacement,90.58,Battery Replacement for bike BK312
MR5026,BK329,electric,2024-08-03,general_inspection,120.42,General Inspection for bike BK329
MR5027,BK302,electric,2024-01-28,chain_lubrication,21.08,Chain Lubrication for bike BK302
MR5028,BK244,electric,2024-12-11,chain_lubrication,19.49,Chain Lubrication for bike BK244
MR5029,BK265,electric,2024-07-19,battery_replacement,202.79,Battery Replacement for bike BK265
MR5030,BK336,classic,2024-05-16,chain_lubrication,104.12,Chain Lubrication for bike BK336
MR5031,BK323,classic,2024-03-09,brake_adjustment,13.46,Brake Adjustment for bike BK323
MR5032,BK235,electric,2024-07-27,general_inspection,122.9,General Inspection for bike BK235
MR5033,BK226,electric,2024-10-30,battery_replacement,157.23,Battery Replacement for bike BK226
MR5034,BK300,classic,2024-12-24,brake_adjustment,68.99,Brake Adjustment for bike BK300
MR5035,BK328,classic,2024-11-21,tire_repair,109.22,Tire Repair for bike BK328
MR5036,BK317,classic,2024-06-10,general_inspection,47.6,General Inspection for bike BK317
MR5037,BK333,electric,2024-02-27,tire_repair,81.35,Tire Repair for bike BK333
MR5038,BK291,classic,2024-05-30,general_inspection,103.37,General Inspection for bike BK291
MR5039,BK317,electric,2024-12-28,chain_lubrication,12.23,Chain Lubrication for bike BK317
MR5040,BK323,electric,2024-02-27,battery_replacement,95.53,Battery Replacement for bike BK323
MR5041,BK265,electric,2024-05-19,tire_repair,45.59,Tire Repair for bike BK265
MR5042,BK317,electric,2024-04-21,battery_replacement,180.47,Battery Replacement for bike BK317
MR5043,BK251,electric,2024-10-08,brake_adjustment,101.61,Brake Adjustment for bike BK251
MR5044,BK331,electric,2024-03-16,brake_adjustment,95.59,Brake Adjustment for bike BK331
MR5045,BK315,electric,2024-08-22,tire_repair,108.58,Tire Repair for bike BK315
MR5046,BK342,classic,2024-02-07,brake_adjustment,60.69,Brake Adjustment for bike BK342
MR5047,BK201,electric,2024-07-18,general_inspection,49.98,General Inspection for bike BK201
MR5048,BK212,classic,2024-12-10,general_inspection,59.82,General Inspection for bike BK212
MR5049,BK300,electric,2024-05-06,general_inspection,60.82,General Inspection for bike BK300
MR5050,BK320,classic,2024-05-31,general_inspection,143.39,General Inspection for bike BK320
MR5051,BK315,electric,2024-03-22,battery_replacement,88.34,Battery Replacement for bike BK315
MR5052,BK317,electric,2024-06-18,battery_replacement,,Battery Replacement for bike BK317
MR5053,BK283,classic,2024-05-17,brake_adjustment,111.78,Brake Adjustment for bike BK283
MR5054,BK333,electric,2024-05-10,battery_replacement,120.11,Battery Replacement for bike BK333
MR5055,BK258,electric,2024-04-07,battery_replacement,107.85,Battery Replacement for bike BK258
MR5056,BK229,electric,2024-05-09,tire_repair,44.6,Tire Repair for bike BK229
MR5057,BK307,electric,2024-01-14,battery_replacement,245.38,Battery Replacement for bike BK307
MR5058,BK302,classic,2024-09-03,chain_lubrication,28.85,Chain Lubrication for bike BK302
MR5059,BK312,classic,2024-07-01,tire_repair,144.8,Tire Repair for bike BK312
MR5060,BK330,electric,2024-09-27,chain_lubrication,100.11,Chain Lubrication for bike BK330
MR5061,BK261,electric,2024-07-24,chain_lubrication,77.28,Chain Lubrication for bike BK261
MR5062,BK253,classic,2024-09-11,general_inspection,95.1,General Inspection for bike BK253
MR5063,BK265,electric,2024-08-23,battery_replacement,220.64,Battery Replacement for bike BK265
MR5064,BK329,electric,2024-02-01,chain_lubrication,43.17,Chain Lubrication for bike BK329
MR5065,BK320,electric,2024-06-08,battery_replacement,216.33,Battery Replacement for bike BK320
MR5066,BK323,electric,2024-08-06,general_inspection,33.16,General Inspection for bike BK323
MR5067,BK228,electric,2024-12-01,battery_replacement,,Battery Replacement for bike BK228
MR5068,BK329,electric,2024-07-24,brake_adjustment,129.1,Brake Adjustment for bike BK329
MR5069,BK201,electric,2024-05-14,brake_adjustment,51.53,Brake Adjustment for bike BK201
MR5070,BK238,electric,2024-10-17,tire_repair,44.44,Tire Repair for bike BK238
MR5071,BK312,electric,2024-12-17,general_inspection,22.37,General Inspection for bike BK312
MR5072,BK211,electric,2024-08-29,brake_adjustment,102.57,Brake Adjustment for bike BK211
MR5073,BK265,electric,2024-03-02,battery_replacement,231.14,Battery Replacement for bike BK265
MR5074,BK253,classic,2024-01-31,chain_lubrication,131.21,Chain Lubrication for bike BK253
MR5075,BK235,classic,2024-11-03,brake_adjustment,,Brake Adjustment for bike BK235
MR5076,BK212,electric,2024-02-17,battery_replacement,246.24,Battery Replacement for bike BK212
MR5077,BK235,classic,2024-04-28,chain_lubrication,114.65,Chain Lubrication for bike BK235
MR5078,BK261,classic,2024-12-17,tire_repair,116.0,Tire Repair for bike BK261
MR5079,BK312,electric,2024-06-29,tire_repair,54.39,Tire Repair for bike BK312
MR5080,BK261,classic,2024-02-09,general_inspection,35.17,General Inspection for bike BK261
MR5081,BK346,classic,2024-01-28,chain_lubrication,52.38,Chain Lubrication for bike BK346
MR5082,BK251,classic,2024-09-30,tire_repair,126.58,Tire Repair for bike BK251
MR5083,BK291,electric,2024-03-09,battery_replacement,188.98,Battery Replacement for bike BK291
MR5084,BK331,electric,2024-02-01,battery_replacement,115.15,Battery Replacement for bike BK331
MR5085,BK227,classic,2024-06-22,tire_repair,22.75,Tire Repair for bike BK227
MR5086,BK312,electric,2024-09-20,chain_lubrication,100.61,Chain Lubrication for bike BK312
MR5087,BK315,electric,2024-12-17,chain_lubrication,,Chain Lubrication for bike BK315
MR5088,BK274,electric,2024-03-29,general_inspection,75.72,General Inspection for bike BK274
MR5089,BK261,electric,2024-07-08,general_inspection,41.39,General Inspection for bike BK261
MR5090,BK328,electric,2024-08-10,brake_adjustment,123.74,Brake Adjustment for bike BK328
MR5091,BK211,classic,2024-10-28,tire_repair,144.09,Tire Repair for bike BK211
MR5092,BK329,electric,2024-12-05,general_inspection,59.56,General Inspection for bike BK329
MR5093,BK331,classic,2024-04-02,tire_repair,127.14,Tire Repair for bike BK331
MR5094,BK312,electric,2024-10-19,general_inspection,124.98,General Inspection for bike BK312
MR5095,BK329,classic,2024-10-30,tire_repair,142.29,Tire Repair for bike BK329
MR5096,BK227,classic,2024-01-28,tire_repair,12.42,Tire Repair for bike BK227
MR5097,BK250,classic,2024-05-26,tire_repair,22.55,Tire Repair for bike BK250
MR5098,BK328,classic,2024-03-27,tire_repair,84.45,Tire Repair for bike BK328
MR5099,BK295,electric,2024-02-11,tire_repair,42.39,Tire Repair for bike BK295
MR5100,BK320,electric,2024-04-29,chain_lubrication,126.4,Chain Lubrication for bike BK320
MR5101,BK238,classic,2024-11-03,chain_lubrication,59.35,Chain Lubrication for bike BK238
MR5102,BK317,electric,2024-04-07,battery_replacement,85.93,Battery Replacement for bike BK317
MR5103,BK227,electric,2024-10-06,chain_lubrication,10.87,Chain Lubrication for bike BK227
MR5104,BK251,electric,2024-04-15,battery_replacement,147.72,Battery Replacement for bike BK251
MR5105,BK226,classic,2024-02-04,brake_adjustment,86.12,Brake Adjustment for bike BK226
MR5106,BK262,electric,2024-05-08,general_inspection,41.19,General Inspection for bike BK262
MR5107,BK312,electric,2024-05-14,brake_adjustment,108.71,Brake Adjustment for bike BK312
MR5108,BK212,classic,2024-03-20,chain_lubrication,88.9,Chain Lubrication for bike BK212
MR5109,BK251,electric,2024-08-16,tire_repair,39.02,Tire Repair for bike BK251
MR5110,BK202,electric,2024-01-21,tire_repair,51.02,Tire Repair for bike BK202
MR5111,BK250,electric,2024-11-11,battery_replacement,99.09,Battery Replacement for bike BK250
MR5112,BK295,electric,2024-09-01,chain_lubrication,103.78,Chain Lubrication for bike BK295
MR5113,BK262,classic,2024-04-11,general_inspection,61.98,General Inspection for bike BK262
MR5114,BK226,electric,2024-02-09,battery_replacement,249.52,Battery Replacement for bike BK226
MR5115,BK317,classic,2024-11-30,general_inspection,126.42,General Inspection for bike BK317
MR5116,BK270,classic,2024-12-05,tire_repair,86.81,Tire Repair for bike BK270
MR5117,BK235,classic,2024-06-01,brake_adjustment,138.13,Brake Adjustment for bike BK235
MR5118,BK229,electric,2024-06-11,brake_adjustment,89.78,Brake Adjustment for bike BK229
MR5119,BK280,electric,2024-05-13,battery_replacement,243.71,Battery Replacement for bike BK280
MR5120,BK295,classic,2024-02-20,general_inspection,123.33,General Inspection for bike BK295
MR5121,BK227,electric,2024-09-14,tire_repair,126.55,Tire Repair for bike BK227
MR5122,BK280,electric,2024-05-13,chain_lubrication,41.0,Chain Lubrication for bike BK280
MR5123,BK328,electric,2024-06-25,battery_replacement,248.6,Battery Replacement for bike BK328
MR5124,BK280,classic,2024-10-18,general_inspection,17.37,General Inspection for bike BK280
MR5125,BK331,classic,2024-01-16,brake_adjustment,26.47,Brake Adjustment for bike BK331
MR5126,BK295,electric,2024-08-04,brake_adjustment,13.65,Brake Adjustment for bike BK295
MR5127,BK320,electric,2024-05-25,brake_adjustment,,Brake Adjustment for bike BK320
MR5128,BK261,classic,2024-03-26,chain_lubrication,98.31,Chain Lubrication for bike BK261
MR5129,BK317,classic,2024-05-11,general_inspection,75.53,General Inspection for bike BK317
MR5130,BK315,electric,2024-06-23,tire_repair,115.11,Tire Repair for bike BK315
MR5131,BK261,electric,2024-01-31,battery_replacement,80.34,Battery Replacement for bike BK261
MR5132,BK261,electric,2024-02-24,brake_adjustment,43.44,Brake Adjustment for bike BK261
MR5133,BK328,electric,2024-01-30,tire_repair,37.24,Tire Repair for bike BK328
MR5134,BK323,electric,2024-12-24,general_inspection,29.1,General Inspection for bike BK323
MR5135,BK212,classic,2024-04-05,brake_adjustment,22.75,Brake Adjustment for bike BK212
MR5136,BK295,electric,2024-01-15,general_inspection,112.02,General Inspection for bike BK295
MR5137,BK202,electric,2024-10-18,battery_replacement,100.08,Battery Replacement for bike BK202
MR5138,BK251,electric,2024-12-15,brake_adjustment,83.63,Brake Adjustment for bike BK251
MR5139,BK285,electric,2024-09-22,tire_repair,38.92,Tire Repair for bike BK285
MR5140,BK336,electric,2024-03-29,battery_replacement,163.56,Battery Replacement for bike BK336
MR5141,BK302,classic,2024-01-14,brake_adjustment,93.24,Brake Adjustment for bike BK302
MR5142,BK317,electric,2024-06-29,brake_adjustment,112.58,Brake Adjustment for bike BK317
MR5143,BK262,classic,2024-11-16,brake_adjustment,123.38,Brake Adjustment for bike BK262
MR5144,BK265,electric,2024-11-26,chain_lubrication,115.23,Chain Lubrication for bike BK265
MR5145,BK312,classic,2024-04-12,general_inspection,34.81,General Inspection for bike BK312
MR5146,BK261,electric,2024-04-13,chain_lubrication,148.5,Chain Lubrication for bike BK261
MR5147,BK262,electric,2024-10-21,tire_repair,60.74,Tire Repair for bike BK262
MR5148,BK329,electric,2024-10-24,battery_replacement,243.35,Battery Replacement for bike BK329
MR5149,BK228,classic,2024-12-05,tire_repair,,Tire Repair for bike BK228
MR5150,BK227,electric,2024-12-25,battery_replacement,164.32,Battery Replacement for bike BK227
MR5151,BK226,electric,2024-11-01,brake_adjustment,96.14,Brake Adjustment for bike BK226
MR5152,BK333,electric,2024-06-07,chain_lubrication,88.55,Chain Lubrication for bike BK333
MR5153,BK250,electric,2024-07-23,brake_adjustment,94.22,Brake Adjustment for bike BK250
MR5154,BK300,electric,2024-01-15,general_inspection,86.63,General Inspection for bike BK300
MR5155,BK327,electric,2024-04-03,chain_lubrication,,Chain Lubrication for bike BK327
MR5156,BK251,classic,2024-04-06,brake_adjustment,10.16,Brake Adjustment for bike BK251
MR5157,BK295,electric,2024-02-13,general_inspection,93.36,General Inspection for bike BK295
MR5158,BK270,classic,2024-03-02,brake_adjustment,81.32,Brake Adjustment for bike BK270
MR5159,BK283,classic,2024-11-05,brake_adjustment,95.19,Brake Adjustment for bike BK283
MR5160,BK262,classic,2024-07-05,brake_adjustment,12.05,Brake Adjustment for bike BK262
MR5161,BK251,classic,2024-11-06,brake_adjustment,80.58,Brake Adjustment for bike BK251
MR5162,BK295,classic,2024-04-23,tire_repair,120.06,Tire Repair for bike BK295
MR5163,BK229,electric,2024-05-23,chain_lubrication,95.44,Chain Lubrication for bike BK229
MR5164,BK250,electric,2024-01-30,chain_lubrication,46.97,Chain Lubrication for bike BK250
MR5165,BK250,electric,2024-04-30,battery_replacement,82.38,Battery Replacement for bike BK250
MR5166,BK307,classic,2024-02-19,general_inspection,40.01,General Inspection for bike BK307
MR5167,BK270,classic,2024-09-21,tire_repair,71.57,Tire Repair for bike BK270
MR5168,BK336,classic,2024-08-15,brake_adjustment,119.35,Brake Adjustment for bike BK336
MR5169,BK346,classic,2024-03-21,chain_lubrication,31.71,Chain Lubrication for bike BK346
MR5170,BK285,electric,2024-10-30,brake_adjustment,124.61,Brake Adjustment for bike BK285
MR5171,BK315,classic,2024-08-09,tire_repair,,Tire Repair for bike BK315
MR5172,BK307,electric,2024-02-29,tire_repair,121.29,Tire Repair for bike BK307
MR5173,BK320,electric,2024-10-16,general_inspection,149.0,General Inspection for bike BK320
MR5174,BK250,electric,2024-09-13,tire_repair,38.53,Tire Repair for bike BK250
MR5175,BK325,electric,2024-05-25,chain_lubrication,105.44,Chain Lubrication for bike BK325
MR5176,BK302,classic,2024-07-07,general_inspection,26.49,General Inspection for bike BK302
MR5177,BK243,electric,2024-03-26,chain_lubrication,110.98,Chain Lubrication for bike BK243
MR5178,BK286,electric,2024-11-22,tire_repair,80.14,Tire Repair for bike BK286
MR5179,BK201,electric,2024-06-25,battery_replacement,160.92,Battery Replacement for bike BK201
MR5180,BK227,electric,2024-03-25,tire_repair,91.64,Tire Repair for bike BK227
MR5181,BK295,electric,2024-05-09,battery_replacement,246.91,Battery Replacement for bike BK295
MR5182,BK261,classic,2024-05-05,chain_lubrication,147.26,Chain Lubrication for bike BK261
MR5183,BK283,electric,2024-06-18,battery_replacement,171.7,Battery Replacement for bike BK283
MR5184,BK274,electric,2024-06-24,battery_replacement,149.73,Battery Replacement for bike BK274
MR5185,BK211,electric,2024-04-28,general_inspection,63.04,General Inspection for bike BK211
MR5186,BK312,electric,2024-07-07,battery_replacement,147.45,Battery Replacement for bike BK312
MR5187,BK315,electric,2024-03-14,chain_lubrication,139.06,Chain Lubrication for bike BK315
MR5188,BK315,electric,2024-08-12,chain_lubrication,146.61,Chain Lubrication for bike BK315
MR5189,BK329,classic,2024-04-17,brake_adjustment,13.69,Brake Adjustment for bike BK329
MR5190,BK251,electric,2024-03-30,battery_replacement,249.3,Battery Replacement for bike BK251
MR5191,BK329,electric,2024-04-05,battery_replacement,217.06,Battery Replacement for bike BK329
MR5192,BK227,electric,2024-04-29,battery_replacement,170.91,Battery Replacement for bike BK227
MR5193,BK333,electric,2024-03-22,tire_repair,77.4,Tire Repair for bike BK333
MR5194,BK244,electric,2024-02-02,chain_lubrication,73.16,Chain Lubrication for bike BK244
MR5195,BK229,classic,2024-06-16,general_inspection,84.05,General Inspection for bike BK229
MR5196,BK346,classic,2024-06-01,brake_adjustment,141.14,Brake Adjustment for bike BK346
MR5197,BK315,classic,2024-11-11,general_inspection,51.71,General Inspection for bike BK315
MR5198,BK280,classic,2024-07-30,general_inspection,96.53,General Inspection for bike BK280
MR5199,BK312,electric,2024-08-17,battery_replacement,151.72,Battery Replacement for bike BK312
